"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual","date","season","tripduration","start_time","end_time","month","startcoords.1","startcoords.2","endcoords.1","endcoords.2","distance","logdur","startneigh","endneigh","sameneigh","startcity"
"1","8935E90834AB5E25","classic_bike","2024-05-01 19:19:52","2024-05-01 19:26:43","Washington St at Rutland St","C32006","Back Bay T Stop - Dartmouth St at Stuart St","C32003",42.33851,-71.07404,42.34807,-71.07657,"member",2024-10-03,"autumn",411,"19:19:52","19:26:43",NA,-71.07404,42.33851,-71.07657,42.34807,1.084319,6.018593,"South End","Back Bay",FALSE,"Boston"
"2","2438FA7C4469B27D","classic_bike","2024-07-04 20:30:17.016","2024-07-04 20:40:38.402","Boylston St at Jersey St","B32034","Boylston St at Berkeley St","D32013",42.34465,-71.09733,42.35114,-71.07329,"casual",2024-04-24,"spring",621.386,"20:30:17","20:40:38",NA,-71.09733,42.34465,-71.07329,42.35114,2.10513,6.431952,"Fenway-Kenmore","Back Bay",FALSE,"Boston"
"3","DA3424BF889E2AF4","classic_bike","2024-10-30 19:53:56.363","2024-10-30 20:02:18.529","955 Mass Ave","M32073","MIT at Mass Ave / Amherst St","M32006",42.36895,-71.10999,42.3581,-71.0932,"member",2024-10-18,"autumn",502.166,"19:53:56","20:02:18",NA,-71.10999,42.36895,-71.0932,42.3581,1.834792,6.218931,"Riverside","Main Street",FALSE,"Cambridge"
"4","DECDF1DD77609049","classic_bike","2024-08-02 00:38:22.604","2024-08-02 01:26:07.649","Boylston St at Jersey St","B32034","Christian Science Plaza - Massachusetts Ave at Westland Ave","B32005",42.34465,-71.09733,42.34367,-71.08582,"member",2024-06-05,"summer",2865.045,"00:38:22","01:26:07",NA,-71.09733,42.34465,-71.08582,42.34367,0.9526232,7.960339,"Fenway-Kenmore","Back Bay",FALSE,"Boston"
"5","E4258963D0041C13","classic_bike","2024-01-09 17:20:31","2024-01-09 17:33:29","Boylston St at Fairfield St","C32008","West End Park","D32022",42.3488,-71.08237,42.36591,-71.06447,"member",2024-06-25,"summer",778,"17:20:31","17:33:29",NA,-71.08237,42.3488,-71.06447,42.36591,2.407072,6.656727,"Back Bay","West End",FALSE,"Boston"
"6","77EF82F6441E353E","classic_bike","2024-05-07 16:41:59","2024-05-07 17:03:43","1200 Beacon St","K32015","Boston Medical Center - E Concord St at Harrison Ave","C32002",42.34415,-71.11467,42.3364,-71.07307,"member",2024-05-28,"spring",1304,"16:41:59","17:03:43",NA,-71.11467,42.34415,-71.07307,42.3364,3.530521,7.173192,"Longwood","South End",FALSE,"Brookline"
"7","7A8053101688E44C","classic_bike","2024-04-01 07:56:44","2024-04-01 08:01:41","Valenti Way at Haverhill St","A32053","Rowes Wharf at Atlantic Ave","D32008",42.36474,-71.05935,42.35714,-71.0507,"member",2024-09-03,"autumn",297,"07:56:44","08:01:41",NA,-71.05935,42.36474,-71.0507,42.35714,1.105106,5.693732,"West End","North End",FALSE,"Boston"
"8","267E17A63534F08F","classic_bike","2024-08-07 22:00:39.826","2024-08-07 22:13:00.452","Copley Square - Dartmouth St at Boylston St","D32005","MIT Hayward St at Amherst St","M32071",42.34993,-71.07739,42.36086,-71.08552,"member",2024-09-30,"autumn",740.626,"22:00:39","22:13:00",NA,-71.07739,42.34993,-71.08552,42.36086,1.388385,6.607496,"Back Bay","Amherst Street",FALSE,"Boston"
"9","E6F9775E2C02156D","classic_bike","2024-10-07 18:29:27.565","2024-10-07 18:42:37.189","Gore Street at Lambert Street","M32081","Beacon St at Massachusetts Ave","B32016",42.37308,-71.08634,42.35083,-71.08981,"member",2024-10-19,"autumn",789.624,"18:29:27","18:42:37",NA,-71.08634,42.37308,-71.08981,42.35083,2.493567,6.671557,"East Cambridge","Fenway-Kenmore",FALSE,"Cambridge"
"10","B711928D6ABE46A4","classic_bike","2024-11-02 16:38:47.32","2024-11-02 16:42:25.558","MIT Carleton St at Amherst St","M32070","75 Binney St","M32064",42.36054,-71.0867,42.36551,-71.08014,"member",2024-09-23,"autumn",218.238,"16:38:47","16:42:25",NA,-71.0867,42.36054,-71.08014,42.36551,0.7724908,5.385586,"Carleton Street","East Cambridge",FALSE,"Cambridge"
"11","526D4B9BF25BC123","electric_bike","2024-09-09 19:28:26.26","2024-09-09 20:08:12.919","Columbia Rd at Tierney Community Center","C32052","Union Square - Somerville","S32002",42.33022,-71.0507,42.37965,-71.0954,"member",2024-06-09,"summer",2386.659,"19:28:26","20:08:12",NA,-71.0507,42.33022,-71.0954,42.37965,6.61774,7.77765,"South Boston","Union Square",FALSE,"Boston"
"12","4BBF0C66172A9371","classic_bike","2024-08-14 08:27:40.213","2024-08-14 08:38:19.581","Mugar Way at Beacon St","D32017","Rowes Wharf at Atlantic Ave","D32008",42.35554,-71.07287,42.35714,-71.0507,"member",2024-09-14,"autumn",639.368,"08:27:40","08:38:19",NA,-71.07287,42.35554,-71.0507,42.35714,1.832466,6.46048,"Beacon Hill","North End",FALSE,"Boston"
"13","1525793D8527F518","classic_bike","2024-05-29 07:40:41","2024-05-29 07:59:00","Warren St at Chelsea St","D32021","Dartmouth St at Newbury St","D32045",42.37185,-71.06029,42.35096,-71.07783,"casual",2024-10-26,"autumn",1099,"07:40:41","07:59:00",NA,-71.06029,42.37185,-71.07783,42.35096,2.736168,7.002156,"Charlestown","Back Bay",FALSE,"Boston"
"14","BA6DB069CDC61CE1","classic_bike","2024-06-06 07:31:47.291","2024-06-06 07:46:54.004","Binney St / Sixth St","M32027","Burlington Ave at Brookline Ave","B32020",42.36609,-71.08634,42.34573,-71.10069,"member",2024-01-12,"winter",906.713,"07:31:47","07:46:54",NA,-71.08634,42.36609,-71.10069,42.34573,2.555262,6.809826,"Harlow Square","Fenway-Kenmore",FALSE,"Cambridge"
"15","DCEE9BA5E736C8AD","classic_bike","2024-12-10 23:17:13.262","2024-12-10 23:22:02.583","Perry Park","S32034","Union Square East","S32041",42.37927,-71.10342,42.38008,-71.0901,"member",2024-08-07,"summer",289.321,"23:17:13","23:22:02",NA,-71.10342,42.37927,-71.0901,42.38008,1.09906,5.667537,"Union Square","Prospect Hill",FALSE,"Somerville"
